sample,context,precision,sensitivity,fmeasure
HiSeq2500_LAB03_Mother_REP01,Alu,0.9888,0.9680,0.9783
HiSeq2500_LAB03_Mother_REP01,L1,0.9971,0.9651,0.9809
HiSeq2500_LAB03_Mother_REP01,L2,0.9987,0.9937,0.9962
HiSeq2500_LAB03_Mother_REP01,lowcomplexity,0.9905,0.9679,0.9791
HiSeq2500_LAB03_Mother_REP01,LTR,0.9982,0.9900,0.9941
HiSeq2500_LAB03_Mother_REP01,satellite,0.9945,0.9477,0.9705
HiSeq2500_LAB03_Mother_REP01,simplerepeat,0.9619,0.9174,0.9392
HiSeq2500_LAB03_Son_REP01,Alu,0.9872,0.9602,0.9735
HiSeq2500_LAB03_Son_REP01,L1,0.9960,0.9586,0.9769
HiSeq2500_LAB03_Son_REP01,L2,0.9981,0.9932,0.9956
HiSeq2500_LAB03_Son_REP01,lowcomplexity,0.9838,0.9467,0.9649
HiSeq2500_LAB03_Son_REP01,LTR,0.9976,0.9883,0.9929
HiSeq2500_LAB03_Son_REP01,satellite,0.9936,0.9757,0.9846
HiSeq2500_LAB03_Son_REP01,simplerepeat,0.9487,0.8924,0.9197
HiSeq2500_LAB03_Son_REP02,Alu,0.9897,0.9695,0.9795
HiSeq2500_LAB03_Son_REP02,L1,0.9975,0.9658,0.9814
HiSeq2500_LAB03_Son_REP02,L2,0.9983,0.9941,0.9962
HiSeq2500_LAB03_Son_REP02,lowcomplexity,0.9899,0.9556,0.9724
HiSeq2500_LAB03_Son_REP02,LTR,0.9980,0.9896,0.9938
HiSeq2500_LAB03_Son_REP02,satellite,0.9971,0.9803,0.9887
HiSeq2500_LAB03_Son_REP02,simplerepeat,0.9630,0.9158,0.9388
HiSeq2500_LAB03_Son_REP03,Alu,0.9756,0.8991,0.9358
HiSeq2500_LAB03_Son_REP03,L1,0.9909,0.9178,0.9530
HiSeq2500_LAB03_Son_REP03,L2,0.9940,0.9628,0.9782
HiSeq2500_LAB03_Son_REP03,lowcomplexity,0.9706,0.8829,0.9246
HiSeq2500_LAB03_Son_REP03,LTR,0.9926,0.9506,0.9711
HiSeq2500_LAB03_Son_REP03,satellite,0.9913,0.9237,0.9563
HiSeq2500_LAB03_Son_REP03,simplerepeat,0.9268,0.8104,0.8647
HiSeq4000_LAB01_Father_REP01,Alu,0.9881,0.9709,0.9794
HiSeq4000_LAB01_Father_REP01,L1,0.9950,0.9789,0.9869
HiSeq4000_LAB01_Father_REP01,L2,0.9981,0.9946,0.9964
HiSeq4000_LAB01_Father_REP01,lowcomplexity,0.9862,0.9725,0.9793
HiSeq4000_LAB01_Father_REP01,LTR,0.9971,0.9935,0.9953
