sample,context,error
HiSeq2500_LAB02_Father_REP01,satellite,4.221568e-02
HiSeq2500_LAB02_Father_REP01,simplerepeat,2.896036e-02
HiSeq2500_LAB02_Mother_REP01,Alu,1.191107e-02
HiSeq2500_LAB02_Mother_REP01,L1,5.858048e-03
HiSeq2500_LAB02_Mother_REP01,L2,6.813100e-03
HiSeq2500_LAB02_Mother_REP01,lowcomplexity,1.900314e-02
HiSeq2500_LAB02_Mother_REP01,LTR,6.213613e-03
HiSeq2500_LAB02_Mother_REP01,satellite,4.392682e-02
HiSeq2500_LAB02_Mother_REP01,simplerepeat,3.169096e-02
HiSeq2500_LAB02_Son_REP01,Alu,1.066649e-02
HiSeq2500_LAB02_Son_REP01,L1,5.229435e-03
HiSeq2500_LAB02_Son_REP01,L2,5.979930e-03
HiSeq2500_LAB02_Son_REP01,lowcomplexity,1.754474e-02
HiSeq2500_LAB02_Son_REP01,LTR,5.477767e-03
HiSeq2500_LAB02_Son_REP01,satellite,4.263292e-02
HiSeq2500_LAB02_Son_REP01,simplerepeat,2.852923e-02
HiSeq2500_LAB02_Son_REP02,Alu,1.162254e-02
HiSeq2500_LAB02_Son_REP02,L1,5.552812e-03
HiSeq2500_LAB02_Son_REP02,L2,6.446009e-03
HiSeq2500_LAB02_Son_REP02,lowcomplexity,1.805616e-02
HiSeq2500_LAB02_Son_REP02,LTR,5.913824e-03
HiSeq2500_LAB02_Son_REP02,satellite,4.359477e-02
HiSeq2500_LAB02_Son_REP02,simplerepeat,2.903325e-02
HiSeq2500_LAB03_Father_REP01,Alu,8.517785e-03
HiSeq2500_LAB03_Father_REP01,L1,4.178277e-03
HiSeq2500_LAB03_Father_REP01,L2,4.627395e-03
HiSeq2500_LAB03_Father_REP01,lowcomplexity,1.524951e-02
HiSeq2500_LAB03_Father_REP01,LTR,4.383982e-03
HiSeq2500_LAB03_Father_REP01,satellite,3.847670e-02
HiSeq2500_LAB03_Father_REP01,simplerepeat,2.437891e-02
HiSeq2500_LAB03_Mother_REP01,Alu,8.994429e-03
HiSeq2500_LAB03_Mother_REP01,L1,4.436880e-03
HiSeq2500_LAB03_Mother_REP01,L2,4.989384e-03
HiSeq2500_LAB03_Mother_REP01,lowcomplexity,1.611480e-02
HiSeq2500_LAB03_Mother_REP01,LTR,4.701757e-03
HiSeq2500_LAB03_Mother_REP01,satellite,4.025761e-02
HiSeq2500_LAB03_Mother_REP01,simplerepeat,2.666265e-02
HiSeq2500_LAB03_Son_REP02,Alu,9.160601e-03
HiSeq2500_LAB03_Son_REP02,L1,4.424538e-03
HiSeq2500_LAB03_Son_REP02,L2,4.980941e-03
HiSeq2500_LAB03_Son_REP02,lowcomplexity,1.572307e-02
