sample,context,error
PacBio_LAB01_Son1_REP01-11k,L2,6.091510e-03
PacBio_LAB01_Son1_REP01-11k,lowcomplexity,8.263639e-03
PacBio_LAB01_Son1_REP01-11k,LTR,5.553954e-03
PacBio_LAB01_Son1_REP01-11k,satellite,2.043990e-01
PacBio_LAB01_Son1_REP01-11k,simplerepeat,9.667889e-03
PacBio_LAB01_Son1_REP01-15k25k,Alu,7.994827e-03
PacBio_LAB01_Son1_REP01-15k25k,L1,8.031295e-03
PacBio_LAB01_Son1_REP01-15k25k,L2,6.087042e-03
PacBio_LAB01_Son1_REP01-15k25k,lowcomplexity,7.761556e-03
PacBio_LAB01_Son1_REP01-15k25k,LTR,5.436321e-03
PacBio_LAB01_Son1_REP01-15k25k,satellite,1.872554e-01
PacBio_LAB01_Son1_REP01-15k25k,simplerepeat,9.109161e-03
PacBio_LAB01_Son1_REP01-25k,Alu,8.547621e-03
PacBio_LAB01_Son1_REP01-25k,L1,8.693281e-03
PacBio_LAB01_Son1_REP01-25k,L2,7.071789e-03
PacBio_LAB01_Son1_REP01-25k,lowcomplexity,8.278533e-03
PacBio_LAB01_Son1_REP01-25k,LTR,6.528114e-03
PacBio_LAB01_Son1_REP01-25k,satellite,1.851492e-01
PacBio_LAB01_Son1_REP01-25k,simplerepeat,9.665507e-03

