sampleOverall,sampleIndiv,GC,normcov
BGISEQ500_LAB01_Father_REP01,BGISEQ500_LAB01_Father_REP01-lane01,79,243617
BGISEQ500_LAB01_Father_REP01,BGISEQ500_LAB01_Father_REP01-lane01,80,203323
BGISEQ500_LAB01_Father_REP01,BGISEQ500_LAB01_Father_REP01-lane01,81,170480
BGISEQ500_LAB01_Father_REP01,BGISEQ500_LAB01_Father_REP01-lane01,82,144221
BGISEQ500_LAB01_Father_REP01,BGISEQ500_LAB01_Father_REP01-lane01,83,119360
BGISEQ500_LAB01_Father_REP01,BGISEQ500_LAB01_Father_REP01-lane01,84,101745
BGISEQ500_LAB01_Father_REP01,BGISEQ500_LAB01_Father_REP01-lane01,85,77034
BGISEQ500_LAB01_Father_REP01,BGISEQ500_LAB01_Father_REP01-lane01,86,56531
BGISEQ500_LAB01_Father_REP01,BGISEQ500_LAB01_Father_REP01-lane01,87,41964
BGISEQ500_LAB01_Father_REP01,BGISEQ500_LAB01_Father_REP01-lane01,88,28480
BGISEQ500_LAB01_Father_REP01,BGISEQ500_LAB01_Father_REP01-lane01,89,20064
BGISEQ500_LAB01_Father_REP01,BGISEQ500_LAB01_Father_REP01-lane01,90,11386
BGISEQ500_LAB01_Father_REP01,BGISEQ500_LAB01_Father_REP01-lane01,91,14417
BGISEQ500_LAB01_Father_REP01,BGISEQ500_LAB01_Father_REP01-lane01,92,5588
BGISEQ500_LAB01_Father_REP01,BGISEQ500_LAB01_Father_REP01-lane01,93,4169
BGISEQ500_LAB01_Father_REP01,BGISEQ500_LAB01_Father_REP01-lane01,94,11511
BGISEQ500_LAB01_Father_REP01,BGISEQ500_LAB01_Father_REP01-lane01,95,22136
BGISEQ500_LAB01_Father_REP01,BGISEQ500_LAB01_Father_REP01-lane01,96,6512
BGISEQ500_LAB01_Father_REP01,BGISEQ500_LAB01_Father_REP01-lane01,97,31729
BGISEQ500_LAB01_Father_REP01,BGISEQ500_LAB01_Father_REP01-lane01,98,25145
BGISEQ500_LAB01_Father_REP01,BGISEQ500_LAB01_Father_REP01-lane01,99,7680
BGISEQ500_LAB01_Father_REP01,BGISEQ500_LAB01_Father_REP01-lane01,100,13
BGISEQ500_LAB01_Father_REP01,BGISEQ500_LAB01_Father_REP01-lane02,0,114814
BGISEQ500_LAB01_Father_REP01,BGISEQ500_LAB01_Father_REP01-lane02,1,5166
BGISEQ500_LAB01_Father_REP01,BGISEQ500_LAB01_Father_REP01-lane02,2,6765
BGISEQ500_LAB01_Father_REP01,BGISEQ500_LAB01_Father_REP01-lane02,3,55940
BGISEQ500_LAB01_Father_REP01,BGISEQ500_LAB01_Father_REP01-lane02,4,14668
BGISEQ500_LAB01_Father_REP01,BGISEQ500_LAB01_Father_REP01-lane02,5,21788
BGISEQ500_LAB01_Father_REP01,BGISEQ500_LAB01_Father_REP01-lane02,6,39140
BGISEQ500_LAB01_Father_REP01,BGISEQ500_LAB01_Father_REP01-lane02,7,69432
BGISEQ500_LAB01_Father_REP01,BGISEQ500_LAB01_Father_REP01-lane02,8,68667
