context,sample,errorRate
Alu,MGISEQ2000_LAB01_Son_REP01,1.398296e-02
Alu,NovaSeq2x150_LAB01_Father_REP01,1.082170e-02
Alu,NovaSeq2x150_LAB01_Mother_REP01,1.114194e-02
Alu,NovaSeq2x150_LAB01_Son_REP01,1.116263e-02
Alu,NovaSeq2x150_LAB02_Father_REP01,1.013229e-02
Alu,NovaSeq2x150_LAB02_Mother_REP01,1.013676e-02
Alu,NovaSeq2x150_LAB02_Son_REP01,1.144986e-02
Alu,NovaSeq2x250_LAB02_Father_REP01,2.266693e-02
Alu,NovaSeq2x250_LAB02_Mother_REP01,2.063065e-02
Alu,NovaSeq2x250_LAB02_Son_REP01,2.300039e-02
Alu,PacBio_LAB01_Son_REP01-10kb,2.595255e+01
Alu,PacBio_LAB02_Son_REP01-11kb,2.459186e+01
Alu,PacBio_LAB03_Son_REP01-15kb20kb,2.653073e+01
Alu,PromethION_LAB01_Son_REP01,7.143847e+01
Alu,PromethION_LAB02_Son_REP01,7.164982e+01
Alu,PromethION_LAB03_Son_REP01,3.391390e+01
L1,BGISEQ500_LAB01_Father_REP01,4.276906e-03
L1,BGISEQ500_LAB01_Mother_REP01,5.814020e-03
L1,BGISEQ500_LAB01_Son_REP01,5.580200e-03
L1,Genapsys_LAB01_Son_REP01,3.678637e-02
L1,HiSeq2500_LAB01_Father_REP01,8.061181e-03
L1,HiSeq2500_LAB01_Mother_REP01,8.586126e-03
L1,HiSeq2500_LAB01_Son_REP01,7.614623e-03
L1,HiSeq2500_LAB01_Son_REP02,8.215637e-03
L1,HiSeq2500_LAB01_Son_REP03,8.260367e-03
L1,HiSeq2500_LAB02_Father_REP01,5.483326e-03
L1,HiSeq2500_LAB02_Mother_REP01,5.858048e-03
L1,HiSeq2500_LAB02_Son_REP01,5.229435e-03
L1,HiSeq2500_LAB02_Son_REP02,5.552812e-03
L1,HiSeq2500_LAB03_Father_REP01,4.178277e-03
L1,HiSeq2500_LAB03_Mother_REP01,4.436880e-03
L1,HiSeq2500_LAB03_Son_REP02,4.424538e-03
L1,HiSeq2500_LAB03_Son_REP03,4.195737e-03
L1,HiSeq4000_LAB01_Father_REP01,7.283263e-03
L1,HiSeq4000_LAB01_Mother_REP01,7.622091e-03
L1,HiSeq4000_LAB01_Son_REP02,8.460152e-03
L1,HiSeq4000_LAB01_Son_REP03,8.299861e-03
L1,HiSeq4000_LAB02_Father_REP01,7.128925e-03
L1,HiSeq4000_LAB02_Mother_REP01,6.957797e-03
L1,HiSeq4000_LAB02_Son_REP01,6.174877e-03
L1,HiSeq4000_LAB02_Son_REP02,6.656650e-03
L1,HiSeq4000_LAB02_Son_REP03,7.060618e-03
