sample,taxon,num,pct
S5_LAB03_Pool_REP01,P_fluorescens,809500712,13.469
S5_LAB03_Pool_REP01,S_epidermidis,420156513,6.991
S5_LAB03_Pool_REP01,P_haloplanktis,660314248,10.987
PGM_LAB02_Pool_REP03,B_subtilis,200928667,13.102
PGM_LAB02_Pool_REP03,C_violaceum,164611904,10.734
PGM_LAB02_Pool_REP03,E_faecalis,143382268,9.35
PGM_LAB02_Pool_REP03,E_coli,211010110,13.759
PGM_LAB02_Pool_REP03,H_halophilus,203979721,13.301
PGM_LAB02_Pool_REP03,H_volcanii,86292747,5.627
PGM_LAB02_Pool_REP03,M_luteus,37911020,2.472
PGM_LAB02_Pool_REP03,P_fluorescens,231340683,15.085
PGM_LAB02_Pool_REP03,S_epidermidis,94744821,6.178
PGM_LAB02_Pool_REP03,P_haloplanktis,159359464,10.391
PGM_LAB02_Pool_REP01,B_subtilis,234692497,13.955
PGM_LAB02_Pool_REP01,C_violaceum,149295917,8.877
PGM_LAB02_Pool_REP01,E_faecalis,186994436,11.119
PGM_LAB02_Pool_REP01,E_coli,223908376,13.314
PGM_LAB02_Pool_REP01,H_halophilus,244117595,14.515
PGM_LAB02_Pool_REP01,H_volcanii,74958435,4.457
PGM_LAB02_Pool_REP01,M_luteus,31744903,1.888
PGM_LAB02_Pool_REP01,P_fluorescens,212114767,12.612
PGM_LAB02_Pool_REP01,S_epidermidis,135646008,8.066
PGM_LAB02_Pool_REP01,P_haloplanktis,188311568,11.197
S5_LAB01_Pool_REP02,B_subtilis,968006334,15.123
S5_LAB01_Pool_REP02,C_violaceum,456246304,7.128
S5_LAB01_Pool_REP02,E_faecalis,775601262,12.117
S5_LAB01_Pool_REP02,E_coli,852922831,13.325
S5_LAB01_Pool_REP02,H_halophilus,983008112,15.358
S5_LAB01_Pool_REP02,H_volcanii,199830489,3.122
S5_LAB01_Pool_REP02,M_luteus,67320802,1.052
S5_LAB01_Pool_REP02,P_fluorescens,795836837,12.434
S5_LAB01_Pool_REP02,S_epidermidis,600957648,9.389
S5_LAB01_Pool_REP02,P_haloplanktis,700970357,10.951
S5_LAB03_Pool_REP03,B_subtilis,703062074,13.644
S5_LAB03_Pool_REP03,C_violaceum,537359443,10.428
S5_LAB03_Pool_REP03,E_faecalis,475991913,9.237
S5_LAB03_Pool_REP03,E_coli,748880751,14.533
S5_LAB03_Pool_REP03,H_halophilus,710837454,13.795
S5_LAB03_Pool_REP03,H_volcanii,255992065,4.968
S5_LAB03_Pool_REP03,M_luteus,106373401,2.064
S5_LAB03_Pool_REP03,P_fluorescens,762638110,14.8
S5_LAB03_Pool_REP03,S_epidermidis,294189483,5.709
S5_LAB03_Pool_REP03,P_haloplanktis,557649204,10.822
MiSeq_LAB03_Pool_REP01,B_subtilis,262898093,18.631
MiSeq_LAB03_Pool_REP01,C_violaceum,153833743,10.902
MiSeq_LAB03_Pool_REP01,E_faecalis,108390822,7.681
MiSeq_LAB03_Pool_REP01,E_coli,117064931,8.296
MiSeq_LAB03_Pool_REP01,H_halophilus,165148161,11.704
MiSeq_LAB03_Pool_REP01,H_volcanii,48433957,3.432
MiSeq_LAB03_Pool_REP01,M_luteus,80728160,5.721
MiSeq_LAB03_Pool_REP01,P_fluorescens,311740901,22.092
MiSeq_LAB03_Pool_REP01,S_epidermidis,76495146,5.421
MiSeq_LAB03_Pool_REP01,P_haloplanktis,86348628,6.119
S5_LAB02_Pool_REP01,B_subtilis,855142836,13.781
S5_LAB02_Pool_REP01,C_violaceum,599616751,9.663
S5_LAB02_Pool_REP01,E_faecalis,644160105,10.381
S5_LAB02_Pool_REP01,E_coli,854955599,13.778
S5_LAB02_Pool_REP01,H_halophilus,881934606,14.213
S5_LAB02_Pool_REP01,H_volcanii,291229748,4.693
S5_LAB02_Pool_REP01,M_luteus,129804630,2.092
S5_LAB02_Pool_REP01,P_fluorescens,832527864,13.417
S5_LAB02_Pool_REP01,S_epidermidis,428482632,6.905
S5_LAB02_Pool_REP01,P_haloplanktis,687382937,11.077
MiSeq_LAB01_Pool_REP01,B_subtilis,283025549,18.768
MiSeq_LAB01_Pool_REP01,C_violaceum,162366935,10.767
MiSeq_LAB01_Pool_REP01,E_faecalis,116433237,7.721
MiSeq_LAB01_Pool_REP01,E_coli,124437260,8.252
MiSeq_LAB01_Pool_REP01,H_halophilus,176504748,11.704
MiSeq_LAB01_Pool_REP01,H_volcanii,51768798,3.433
MiSeq_LAB01_Pool_REP01,M_luteus,85476705,5.668
MiSeq_LAB01_Pool_REP01,P_fluorescens,331165578,21.96
MiSeq_LAB01_Pool_REP01,S_epidermidis,82314223,5.458
