sample,varType,context,count
BGISEQ500_LAB01_Son_REP01,SNPs,lowcomplexity,4994
BGISEQ500_LAB01_Son_REP01,SNPs,LTR,339627
BGISEQ500_LAB01_Son_REP01,SNPs,satellite,2544
BGISEQ500_LAB01_Son_REP01,SNPs,simplerepeat,33882
HiSeq2500_LAB01_Father_REP01,nonSNPs,Alu,88644
HiSeq2500_LAB01_Father_REP01,nonSNPs,L1,78183
HiSeq2500_LAB01_Father_REP01,nonSNPs,L2,10525
HiSeq2500_LAB01_Father_REP01,nonSNPs,lowcomplexity,3717
HiSeq2500_LAB01_Father_REP01,nonSNPs,LTR,27701
HiSeq2500_LAB01_Father_REP01,nonSNPs,satellite,141
HiSeq2500_LAB01_Father_REP01,nonSNPs,simplerepeat,64434
HiSeq2500_LAB01_Father_REP01,SNPs,Alu,413929
HiSeq2500_LAB01_Father_REP01,SNPs,L1,614053
HiSeq2500_LAB01_Father_REP01,SNPs,L2,114858
HiSeq2500_LAB01_Father_REP01,SNPs,lowcomplexity,4640
HiSeq2500_LAB01_Father_REP01,SNPs,LTR,335833
HiSeq2500_LAB01_Father_REP01,SNPs,satellite,1863
HiSeq2500_LAB01_Father_REP01,SNPs,simplerepeat,30767
HiSeq2500_LAB01_Mother_REP01,nonSNPs,Alu,89471
HiSeq2500_LAB01_Mother_REP01,nonSNPs,L1,78923
HiSeq2500_LAB01_Mother_REP01,nonSNPs,L2,10709
HiSeq2500_LAB01_Mother_REP01,nonSNPs,lowcomplexity,3681
HiSeq2500_LAB01_Mother_REP01,nonSNPs,LTR,28060
HiSeq2500_LAB01_Mother_REP01,nonSNPs,satellite,148
HiSeq2500_LAB01_Mother_REP01,nonSNPs,simplerepeat,64668
HiSeq2500_LAB01_Mother_REP01,SNPs,Alu,413839
HiSeq2500_LAB01_Mother_REP01,SNPs,L1,620328
HiSeq2500_LAB01_Mother_REP01,SNPs,L2,115817
HiSeq2500_LAB01_Mother_REP01,SNPs,lowcomplexity,4592
HiSeq2500_LAB01_Mother_REP01,SNPs,LTR,339538
HiSeq2500_LAB01_Mother_REP01,SNPs,satellite,1857
HiSeq2500_LAB01_Mother_REP01,SNPs,simplerepeat,30711
HiSeq2500_LAB01_Son_REP01,nonSNPs,Alu,92446
HiSeq2500_LAB01_Son_REP01,nonSNPs,L1,80037
HiSeq2500_LAB01_Son_REP01,nonSNPs,L2,10875
HiSeq2500_LAB01_Son_REP01,nonSNPs,lowcomplexity,4230
HiSeq2500_LAB01_Son_REP01,nonSNPs,LTR,28509
HiSeq2500_LAB01_Son_REP01,nonSNPs,satellite,248
HiSeq2500_LAB01_Son_REP01,nonSNPs,simplerepeat,71359
HiSeq2500_LAB01_Son_REP01,SNPs,Alu,421857
HiSeq2500_LAB01_Son_REP01,SNPs,L1,618473
HiSeq2500_LAB01_Son_REP01,SNPs,L2,115252
HiSeq2500_LAB01_Son_REP01,SNPs,lowcomplexity,5044
HiSeq2500_LAB01_Son_REP01,SNPs,LTR,340830
