sampleOverall,sampleIndiv,GC,normcov
HiSeq2500_LAB02_Mother_REP01,HiSeq2500_LAB02_Mother_REP01,22,1.156951
HiSeq2500_LAB02_Mother_REP01,HiSeq2500_LAB02_Mother_REP01,23,1.138023
HiSeq2500_LAB02_Mother_REP01,HiSeq2500_LAB02_Mother_REP01,24,1.116120
HiSeq2500_LAB02_Mother_REP01,HiSeq2500_LAB02_Mother_REP01,25,1.090372
HiSeq2500_LAB02_Mother_REP01,HiSeq2500_LAB02_Mother_REP01,26,1.081752
HiSeq2500_LAB02_Mother_REP01,HiSeq2500_LAB02_Mother_REP01,27,1.069843
HiSeq2500_LAB02_Mother_REP01,HiSeq2500_LAB02_Mother_REP01,28,1.066230
HiSeq2500_LAB02_Mother_REP01,HiSeq2500_LAB02_Mother_REP01,29,1.065099
HiSeq2500_LAB02_Mother_REP01,HiSeq2500_LAB02_Mother_REP01,30,1.062767
HiSeq2500_LAB02_Mother_REP01,HiSeq2500_LAB02_Mother_REP01,31,1.061629
HiSeq2500_LAB02_Mother_REP01,HiSeq2500_LAB02_Mother_REP01,32,1.063694
HiSeq2500_LAB02_Mother_REP01,HiSeq2500_LAB02_Mother_REP01,33,1.067110
HiSeq2500_LAB02_Mother_REP01,HiSeq2500_LAB02_Mother_REP01,34,1.069858
HiSeq2500_LAB02_Mother_REP01,HiSeq2500_LAB02_Mother_REP01,35,1.077548
HiSeq2500_LAB02_Mother_REP01,HiSeq2500_LAB02_Mother_REP01,36,1.081860
HiSeq2500_LAB02_Mother_REP01,HiSeq2500_LAB02_Mother_REP01,37,1.079371
HiSeq2500_LAB02_Mother_REP01,HiSeq2500_LAB02_Mother_REP01,38,1.079761
HiSeq2500_LAB02_Mother_REP01,HiSeq2500_LAB02_Mother_REP01,39,1.078757
HiSeq2500_LAB02_Mother_REP01,HiSeq2500_LAB02_Mother_REP01,40,1.068774
HiSeq2500_LAB02_Mother_REP01,HiSeq2500_LAB02_Mother_REP01,41,1.049902
HiSeq2500_LAB02_Mother_REP01,HiSeq2500_LAB02_Mother_REP01,42,1.034921
HiSeq2500_LAB02_Mother_REP01,HiSeq2500_LAB02_Mother_REP01,43,1.013571
HiSeq2500_LAB02_Mother_REP01,HiSeq2500_LAB02_Mother_REP01,44,0.986749
HiSeq2500_LAB02_Mother_REP01,HiSeq2500_LAB02_Mother_REP01,45,0.962808
HiSeq2500_LAB02_Mother_REP01,HiSeq2500_LAB02_Mother_REP01,46,0.938941
HiSeq2500_LAB02_Mother_REP01,HiSeq2500_LAB02_Mother_REP01,47,0.919368
