sample,readsTotal,readsProperlyPaired,readsDuplicated,readsMultimap,readsUnmap,errorRate,avgLength,avgQual
HiSeqX10_LAB02_Son_REP01,889232598,867189588,78607067,43354039,4321602,6.541497e-03,151,39.4
HiSeqX10_LAB02_Son_REP02,891251928,872063146,123954374,43156091,3621017,6.294867e-03,151,39.3
HiSeqX10_LAB02_Son_REP03,905679390,878499146,75991106,44098196,5502411,6.765498e-03,151,39.2
MGISEQ2000_LAB01_Father_REP01,1368769746,1338002062,7713046,60476967,2838314,8.991345e-03,150,33.9
MGISEQ2000_LAB01_Mother_REP01,1384087568,1355252152,12356345,54573350,3461040,9.035060e-03,150,33.6
MGISEQ2000_LAB01_Mother_REP02,1280145650,1242151166,7452852,54793960,4647159,1.141643e-02,150,33.6
MGISEQ2000_LAB01_Son_REP01,1451463284,1418030256,9401065,64197773,2634499,7.974519e-03,150,34.1
NovaSeq2x150_LAB01_Father_REP01,1394252566,1367422492,186352514,64667556,1806786,5.346912e-03,151,35.6
NovaSeq2x150_LAB01_Mother_REP01,1257540878,1233119586,176081681,54496929,1918001,5.379654e-03,151,35.6
NovaSeq2x150_LAB01_Son_REP01,1184950976,1160731456,156035989,54736321,1803815,5.522538e-03,151,35.6
NovaSeq2x150_LAB02_Father_REP01,886028794,866829322,69562206,41864071,1239944,5.156186e-03,150,35.7
NovaSeq2x150_LAB02_Mother_REP01,773252580,758313144,58096006,33937426,859516,4.988725e-03,150,35.7
NovaSeq2x150_LAB02_Son_REP01,891688498,870377738,62941174,42380709,1762004,6.028234e-03,150,35.4
NovaSeq2x250_LAB02_Father_REP01,530933606,516646050,53849438,20361372,1008521,1.012821e-02,250,34.5
NovaSeq2x250_LAB02_Mother_REP01,600093896,584853822,67661804,21490673,1081319,8.845745e-03,250,34.7
NovaSeq2x250_LAB02_Son_REP01,719517430,698747150,79486763,28130072,1842230,1.034342e-02,250,34.4
PacBio_LAB01_Son_REP01-10kb,9270502,9051140,NA,11641,219362,0.000000e+00,9567,79.1
PacBio_LAB02_Son_REP01-11kb,8892263,8877196,NA,9759,15067,0.000000e+00,11237,79.5
PacBio_LAB03_Son_REP01-15kb20kb,11714594,11711368,NA,10656,3226,0.000000e+00,14190,81.0
PromethION_LAB01_Son_REP01,19328993,7555325,NA,43098,11773668,1.332300e-01,8098,27.5
PromethION_LAB02_Son_REP01,19328993,7557718,NA,42934,11771275,1.325168e-01,8098,27.5
PromethION_LAB03_Son_REP01,41336621,35717049,NA,312284,5619572,1.165124e-01,4302,17.1
Proton_LAB01_Father_REP01,43004287,42308468,NA,953520,695819,8.767204e-03,189,24.2
Proton_LAB01_Father_REP02,40448021,39762666,NA,933179,685355,1.230550e-02,183,23.8
Proton_LAB01_Father_REP03,23865020,23484340,NA,480886,380680,9.821688e-03,183,24.3
Proton_LAB01_Mother_REP01,51663758,50805092,NA,1210831,858666,1.282482e-02,182,23.7
Proton_LAB01_Mother_REP02,37234686,36710765,NA,743542,523921,1.081722e-02,185,23.8
Proton_LAB01_Mother_REP03,62971920,61387178,NA,1135360,1584742,1.017247e-02,184,23.9
Proton_LAB01_Son_REP01,48550237,47694757,NA,1139928,855480,9.330491e-03,186,24.1
Proton_LAB01_Son_REP02,28771679,28399469,NA,606379,372210,9.343642e-03,184,24.4
Proton_LAB02_Father_REP01,53281165,52405980,NA,1221867,875185,9.873460e-03,181,23.8
Proton_LAB02_Father_REP02,25927117,25556761,NA,589900,370356,9.330329e-03,178,24.2
Proton_LAB02_Father_REP03,46412175,45631196,NA,1020312,780979,1.113547e-02,179,23.6
Proton_LAB02_Mother_REP01,30664548,30216116,NA,667128,448432,9.430646e-03,178,24.1
Proton_LAB02_Mother_REP02,35647744,34221840,NA,1108239,1425904,1.297336e-02,147,22.6
Proton_LAB02_Mother_REP03,94375852,91738648,NA,3368118,2637204,1.187878e-02,161,23.7
Proton_LAB02_Son_REP01,34850185,34177652,NA,879600,672533,1.004686e-02,179,23.7
Proton_LAB02_Son_REP02,41374282,39843748,NA,1361998,1530534,1.298431e-02,146,22.6
Proton_LAB02_Son_REP03,48576891,47771624,NA,1136352,805267,1.071648e-02,179,23.7
S5_LAB01_Father_REP01,39307043,38668467,NA,901585,638576,1.112303e-02,182,23.3
S5_LAB01_Father_REP02,33230766,32676768,NA,804793,553998,9.827660e-03,178,23.7
S5_LAB01_Father_REP03,33668497,33220415,NA,689715,448082,9.737010e-03,180,23.7
S5_LAB01_Mother_REP01,43385562,42659802,NA,1046682,725760,1.128410e-02,181,23.2
S5_LAB01_Mother_REP02,31293122,30802530,NA,696423,490592,1.066304e-02,180,23.8
S5_LAB01_Mother_REP03,40107375,39602930,NA,862185,504445,9.615634e-03,179,23.7
S5_LAB01_Son_REP01,43917839,43228143,NA,1082674,689696,9.972429e-03,178,23.6
S5_LAB01_Son_REP02,35346622,34779864,NA,753274,566758,1.121735e-02,178,23.6
S5_LAB01_Son_REP03,85963298,84290901,NA,1592123,1672397,1.210632e-02,182,22.9
Flongle_LAB01_Son_REP01,14700,14237,NA,133,463,1.416181e-01,3489,14.5
MinION_LAB01_Son_REP01,862796,838373,NA,10386,24423,1.030845e-01,3247,18.6
